GUID,จังหวัด,เขตเลือกตั้ง,เลขที่ใบรับใบสมัคร,คำนำหน้าชื่อ,ชื่อ,นามสกุล,ชื่อพรรค,อายุ,การศึกษาสูงสุด,อาชีพล่าสุด,ประกาศ/ไม่ประกาศ
37FCE01A-26AB-4BD3-82DD-ECA799B90810,กระบี่,1,1,นาย,วรวงค์,ระฆังทอง,ประชาภิวัฒน์,50,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
56F7EF1A-367B-4766-9E06-C8FA3C92A370,กระบี่,1,2,นาย,แสงชัย,วสุนธรา,พลังประชารัฐ,63,ปริญญาเอก,นักธุรกิจ,ประกาศ
19E16464-E823-4F3F-BD3D-B182929B483D,กระบี่,1,3,นาย,สมพร,จันทร์อ่อน,ไทยรักษาชาติ ,60,ต่ำกว่าปริญญาตรี,กำนัน,ประกาศ
97692D17-3BC8-4E83-8DC9-B9A5225139B5,กระบี่,1,4,นาย,สมคิด,แซ่ฮ่อ,ประชาธิปไตยใหม่,51,ต่ำกว่าปริญญาตรี,เกษตร,ประกาศ
7A999E4E-D5BF-43C6-A362-C8EBFDFEF11D,กระบี่,1,5,นาย,วศิน,สิริเกียรติกุล,เสรีรวมไทย,33,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
99B18474-F4BF-4EB8-AB00-6072D3723C97,กระบี่,1,6,นาย,จุรุพงค์,โชคไพศาล,ชาติพัฒนา,56,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
0A5EF5CF-EE7A-4E85-B523-CBDF12B13495,กระบี่,1,7,นาย,ไชยา,ดำดี,ชาติไทยพัฒนา,54,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
061E2894-D1D3-41F4-B424-E774607E93ED,กระบี่,1,8,นาง,วิชญาดา,บุญฤทธิ์,แทนคุณแผ่นดิน,49,ปริญญาตรี,ส.อบต.,ประกาศ
BE84DFCB-A387-427A-8C74-4A4AF9C0DC78,กระบี่,1,9,ร.ต.อ.,นิตินัย,พรหมเจริญ,พลังธรรมใหม่,75,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
DCC6E40F-B0D3-4F1F-9007-FE38F7A46180,กระบี่,1,10,ว่าที่ พ.ต.,กิตติศักดิ์,กิตติสิทโธ,ภูมิใจไทย,50,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
D2568250-6553-4786-A147-BE497592D83E,กระบี่,1,11,นาย,จักรพรรดิ,สุคนธกนิษฐ,รวมพลังประชาชาติไทย,34,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
01BE8B35-D34B-472B-A857-C7764C6DE4F8,กระบี่,1,12,พ.ต.ท.,สมมาตร,เกลี้ยงสิน,ประชานิยม,71,ต่ำกว่าปริญญาตรี,ข้าราชการตำรวจ,ประกาศ
7E1E477E-DAB4-4378-B834-8B5A53511B72,กระบี่,1,13,นาย,สุทัศ,แก้วแสวง,พลังท้องถิ่นไท,55,ต่ำกว่าปริญญาตรี,นักการเมืองท้องถิ่น,ประกาศ
EFC97BB0-FFE6-4300-9260-0501A2F75121,กระบี่,1,14,นาง,วาสนา,แซ่ฉั่ว,พลังชาติไทย,38,ปริญญาตรี,เจ้าหน้าที่ของรัฐกรมทรัพยากรฯชายฝั่ง,ประกาศ
6857497B-B553-41C1-A21A-3F01B41187DD,กระบี่,1,15,นาย,ยุทธนา,อ่าวลึกน้อย,อนาคตใหม่,49,ปริญญาโท,นักการเมืองท้องถิ่น,ประกาศ
0EA3979E-19DF-4806-8AE3-5582A96CD44D,กระบี่,1,16,นาย,ทวีเกียรติ,ใจดี,ประชาชาติ,32,ปริญญาตรี,นักการเมืองท้องถิ่น,ประกาศ
D0BC50ED-89FB-4AD6-911C-016C288A24F5,กระบี่,1,17,นาย,ไพบูลย์,เกกินะ,เพื่อชาติ,51,ต่ำกว่าปริญญาตรี,ค้าขาย,ประกาศ
AB819A9B-2194-4627-B240-84C109AC7241,กระบี่,1,18,นาย,สาคร,เกี่ยวข้อง,ประชาธิปัตย์,56,ปริญญาโท,เกษตรกร,ประกาศ
BB77DB6E-1EA4-4AD6-A2F4-671B7BA38AE6,กระบี่,1,19,นาย,สมใจ,นวลนุ่น,รักษ์ผืนป่าประเทศไทย,51,ต่ำกว่าปริญญาตรี,ทำสวน,ประกาศ
107B45EA-B10E-4A24-A94C-4BC6BC927F8E,กระบี่,1,20,นาย,รุ่งโรจน์,ศรีนวลละออง,ครูไทยเพื่อประชาชน,63,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
5CEEB637-0082-4D42-8A19-D94C836BB9D8,กระบี่,1,21,นาย,พิทักษ์,ภารา,ถิ่นกาขาวชาววิไล,45,ปริญญาตรี,รับจ้าง,ประกาศ
5A6DACCB-B496-4BF5-B62D-080E2144C735,กระบี่,1,22,นาย,ธนพัฒน์,บุญญาธิการ,พลังไทยรักไทย,52,ปริญญาตรี,ทนายความ,ประกาศ
2C395712-5780-45DF-B77F-E8608C719770,กระบี่,1,23,นาย,เชาวลิต,สังคะสิน,เพื่อแผ่นดิน,62,ปริญญาโท,ผู้อำนวยการโรงเรียน,ประกาศ
D850CA4D-D499-466C-A01C-9B76CA66BC3B,กระบี่,1,24,นางสาว,วรฤทัย,ชัยภักดี,เศรษฐกิจใหม่,34,ปริญญาตรี,พนักงานบริษัท,ประกาศ
B3C95381-9310-4B00-85A5-8E523EE935A9,กระบี่,1,25,นาย,มนตรี,ขวัญเดือน,กรีน,54,ปริญญาตรี,เกษตรกร,ประกาศ
355634BE-41C1-4A98-8E81-5992FDD0E84D,กระบี่,1,26,นาย,เลิศศักดิ์,ละมุลสุข,พลังไทยรักชาติ,44,ต่ำกว่าปริญญาตรี,ลูกจ้างเหมางานปศุสัตว์จังหวัดกระบี่,ประกาศ
B0AEF954-A756-4121-A5CC-B31D1FB27BDA,กระบี่,1,27,นาย,ยาซีน,งามทรัพย์,ไทยศรีวิไลย์,30,ปริญญาตรี,รับจ้างทั่วไป,ประกาศ
4FD81316-5F54-4E16-A714-55DF88C0A900,กระบี่,1,28,นาย,สมคิด,สมทรง,พลังสังคม,62,ต่ำกว่าปริญญาตรี,ผู้ใหญ่บ้าน,ประกาศ
15FE322D-F170-42E9-B6BA-C846852E2EC4,กระบี่,1,29,นาย,ตรีภพ,เพ่งกิจ,ภราดรภาพ,49,ปริญญาตรี,นักการเมืองท้องถิ่น(ส.อบต.),ประกาศ
800DE9B6-E508-4294-A934-6672456FCD8A,กระบี่,1,30,นางสาว,อุษา,สายเส็น,ความหวังใหม่,32,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
732756A0-9AF7-4106-964B-5F2CC24118AE,กระบี่,1,31,นางสาว,จันทร์เทียม,ชอบศิลป์,ประชาชนปฏิรูป,53,ต่ำกว่าปริญญาตรี,รับจ้าง,ประกาศ
7315D8B8-3882-417A-AF10-52402DB0010A,กระบี่,1,32,นาย,มู่หำหมัด,หมักหมัน,ไทรักธรรม,47,ต่ำกว่าปริญญาตรี,วิทยากรพิเศษ,ประกาศ
A3B4D19E-E472-4FC7-8949-C1BC57331DD9,กระบี่,1,33,นาย,ศราวุธ,ผิวดี,คลองไทย,49,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
FA3A6402-917F-40B1-BD28-F6F900330235,กระบี่,2,1,นาย,สมัชชา,เอ่งฉ้วน,พลังประชารัฐ,41,ปริญญาโท,สมาชิกองค์การบริหารส่วนจังหวัดกระบี่,ประกาศ
B91ACE6E-CFB5-45BC-A52A-702388DD1749,กระบี่,2,2,นาย,อัศวโรจน์,เถาว์กลอย กูจิ,เพื่อไทย,45,ปริญญาตรี,ข้าราชการการเมือง,ประกาศ
42B54D52-59E1-4661-BEF8-EC2819BEF38A,กระบี่,2,3,นาย,สฤษฏ์พงษ์,เกี่ยวข้อง,ภูมิใจไทย,58,ปริญญาเอก,รองนายกองค์การบริหารส่วนจังหวัดกระบี่,ประกาศ
555EBE56-E2C4-4658-B691-3111AA5FD76F,กระบี่,2,4,นาย,นุกูล,จินดาวงษ์,พลังธรรมใหม่,65,ต่ำกว่าปริญญาตรี,ประกอบกิจการส่วนตัว,ประกาศ
8D02E13C-4B35-4C0E-8A28-56A4B84EA549,กระบี่,2,5,นาย,สวัสดิ์,พยายาม,ประชาชาติ,60,ปริญญาโท,ทนายความ,ประกาศ
03727B57-F5A5-4E40-A4E9-2CD9B4D9FE54,กระบี่,2,6,นางสาว,กมลชนก,ราชไมตรี,รักษ์ผืนป่าประเทศไทย,29,ปริญญาตรี,ค้าขาย,ประกาศ
C4AB585C-B57F-4802-9B1B-CC48A2E509BF,กระบี่,2,7,นาย,สถาปนา,ดวงน้ำแก้ว,เสรีรวมไทย,48,ปริญญาโท,ธุรกิจส่วนตัว (รับจ้างทั่วไป),ประกาศ
5B43300A-8529-4B77-9E3E-BD54072CD2B5,กระบี่,2,8,ว่าที่พันตรี,เจ๊ะห้าสัน,ยะลา,ชาติพัฒนา,55,ปริญญาตรี,ประกอบธุรกิจประกันภัย,ประกาศ
BA5D8815-9BD4-4679-9011-A0C8EB853771,กระบี่,2,9,นาย,ภิญโญ,สายนุ้ย,ครูไทยเพื่อประชาชน,66,ปริญญาเอก,ข้าราชการบำนาญ,ประกาศ
7BC51C3A-96E8-4449-8FD0-B54A1689CE61,กระบี่,2,10,นาย,ร้อหมาด,คลองมดคัน,ประชานิยม,49,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
296821D8-32DC-4A7A-A9E2-EFA5B37F02BD,กระบี่,2,11,นาย,ประพันธ์,แก้วทอง,อนาคตใหม่,44,ปริญญาโท,รับราชการครู,ประกาศ
AD0E1E93-C968-479D-8B3B-70AB1FA49B15,กระบี่,2,12,นาย,อริษฎ์พล,เอกธนากุลพัชร,แทนคุณแผ่นดิน,62,ปริญญาตรี,ทนายความ,ประกาศ
BC56DFC7-FEE0-4E82-91F1-1CA40890F396,กระบี่,2,13,นาย,สุชีน,เอ่งฉ้วน,ประชาธิปัตย์,40,ปริญญาโท,นักการเมือง,ประกาศ
8D2F2938-7FD9-46C2-86CA-BF6995087B63,กระบี่,2,14,นาย,ประหยัด,สายนุ้ย,ชาติไทยพัฒนา,52,ปริญญาตรี,รับจ้าง,ประกาศ
8C4F5311-EE88-4B88-BDDD-7DFD68E3AA38,กระบี่,2,15,นาย,กฤษฎีกา,มณีมัย,ประชาธิปไตยใหม่,57,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
F970718D-D7D1-4DED-9E76-417599C7C5DD,กระบี่,2,16,นาย,เสน่ห์,บุญรัตนะ,พลังชาติไทย,65,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
625A061A-5EA7-40F5-8676-7F36F2C1AD07,กระบี่,2,17,นาย,ศิวกรณ์,เอ่งฉ้วน,รวมพลังประชาชาติไทย,34,ปริญญาตรี,เกษตรกร,ประกาศ
13A6BB10-F64E-487A-824B-5215C07F179F,กระบี่,2,18,นาย,เฉลิมวัฒน์,อินทร์จันทร์,เพื่อชาติ,27,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
777CDB30-B5BF-4222-9756-3E431ECD036A,กระบี่,2,19,นาย,ภูเมฆ,สุวรรณเนาว์,พลังท้องถิ่นไท,47,ปริญญาโท,สมาชิกสภาเทศบาลเมืองกระบี่,ประกาศ
721A8183-02F2-4D0B-AAC8-6AF8B37FE668,กระบี่,2,20,นาย,สุริยา,บุญทอง,ไทยรักษาชาติ ,49,ปริญญาตรี,เคยดำรงตำแหน่งนายกองค์การบริหารส่วนตำบลโคกหาร,ประกาศ
79D54054-8CA9-413B-8A6E-9320735B1D59,กระบี่,2,21,นาย,ภควัฒน์,บุผ่อง,ประชาชนปฏิรูป,25,ปริญญาตรี,รับจ้าง,ประกาศ
3967BD46-B02D-41F5-9DB6-29DC5A53FFFE,กระบี่,2,22,นาย,กิตติศักดิ์,รุ่งโรจน์กิตติสิน,เศรษฐกิจใหม่,53,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
BC581D84-1C30-4E23-92E0-BC44C2F93946,กระบี่,2,23,นาย,วัฒน์,เพ็ชรเครือ,คลองไทย,52,ปริญญาตรี,เกษตรกร,ประกาศ
9777E521-EEB5-45D6-A3EA-2ED8D64EA4F9,กระบี่,2,24,นาย,รุ่งโรจน์,รักกมล,กรีน,38,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
