GUID,ชื่อพรรค,คำนำหน้าชื่อ,ชื่อ,นามสกุล,ลำดับบัญชีรายชื่อ,อายุ,การศึกษาสูงสุด,อาชีพล่าสุด,ประกาศ/ไม่ประกาศ
C9C34B1B-8172-4B44-9B12-756526AB0CE2,กรีน,นาย,พงศา,ชูแนม,1,54,ปริญญาตรี,รับราชการ,ประกาศ
6C5F6A72-B648-4A23-BC53-9FF92664BC86,กรีน,นาย,สุเทพ,คงเทศ,2,48,ปริญญาตรี,นักธุรกิจ,ประกาศ
9CFE68C9-36F5-40A4-B00B-05D1A9E9130C,กรีน,นาย,วีระพงศ์,สกล,3,49,ปริญญาตรี,เกษตรกรรม,ประกาศ
FF695C38-7B45-408C-A112-348166760D0F,กรีน,นาย,สุพจน์,บุญยัง,4,49,ปริญญาตรี,เกษตรกร,ประกาศ
2EAA3E26-5275-4F0E-A794-7C0E102D71CC,กรีน,นาย,ภักดี,หิรัญ,5,66,ปริญญาตรี,เกษตรกรรม,ประกาศ
A26E7D3A-37CC-4C35-BA76-3DF0ABB01A41,กรีน,นาย,สธรรดร,เพชรพลาย,6,43,ปริญญาตรี,เกษตรกรรม-ค้าขาย,ประกาศ
15A76A26-2125-4B5B-9A4A-7AABCF1C3033,กรีน,นาย,จิระณัฏฐ์,ไชยวารี,7,52,ปริญญาตรี,เกษตรกร,ไม่ประกาศ
0205B9B6-C128-43EA-B56F-BA6E977FA866,กรีน,นาย,ประหยัด,โททุมพล,8,60,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
A5D1CE6D-B0BF-450E-BA26-AF080E3CDE14,กรีน,นาย,วุฒิ,บุญเลิศ,9,64,ปริญญาตรี,เกษตรกร,ไม่ประกาศ
5B0F576E-760F-4AD4-B394-943259C7CB6E,กรีน,นาย,สหพันธ์,จันทพันธ์,10,60,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
CE6EDC14-CE8A-465A-83EB-41DA97FD02A7,กรีน,นาย,เกริก,มีมุ่งกิจ,11,60,ปริญญาตรี,เกษตรกร,ประกาศ
E7A65666-D55D-4C86-834B-346FB0D04AD5,กรีน,นาย,ชณะกฤช,อิ้ววังโส,12,49,ปริญญาตรี,พนักงานองค์กรของรัฐ,ประกาศ
7E77B936-8126-4428-980B-C7B52F1544F6,กรีน,นาง,พิชามญชุ์,ปล้องพันธ์,13,45,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
78937EB9-A265-4345-8138-72C3BF5BAF02,กรีน,นาย,สมุทร,สุ่มมาตย์,14,60,ปริญญาตรี,ข้าราชการบำนาญ,ไม่ประกาศ
125AC992-3760-4B64-8F73-52748BF09E21,กรีน,นางสาว,ชฎาภรณ์,พันธ์ทอง,15,26,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
0E4F4E03-4982-40CD-A418-42616DDB3884,กลาง,นาย,ชุมพล,ครุฑแก้ว,1,49,ปริญญาเอก,นักวิจัย,ประกาศ
CCE09C9C-2CC8-44B1-B200-8A789C8D0A73,กลาง,นางสาว,นวรัตน์,ไชยพลอนันท์,2,39,ปริญญาตรี,ผู้บริหาร บริษัท พาต้า แฮปปี้ ไลฟ์ โซไซตี้ จำกัด,ประกาศ
C26C2EDC-3B9B-4458-B9B8-E025BD069725,กลาง,นาย,ชาติชาย,ตู้ประกาย,3,44,ปริญญาตรี,"ค้าขาย , เกษตรกร",ประกาศ
77CF389D-E97A-4E47-B59A-6B7E3237DF3E,กลาง,นาย,สุขทวี,สุวรรณชัยรบ,4,40,ปริญญาโท,ที่ปรึกษา,ประกาศ
17FF5F12-42B2-4973-A4E3-E603687CC811,กลาง,นางสาว,ชนาธิป,เตียวเจริญโชค,5,28,ต่ำกว่าปริญญาตรี,รับจ้าง,ประกาศ
1F566971-AB35-4793-9CE2-CDE1FF62D17C,กลาง,นาย,ภูมิ วชร,เจริญผลิตผล,6,42,ต่ำกว่าปริญญาตรี,รับจ้าง,ประกาศ
B9275950-5904-470C-8093-866768D40F2A,กสิกรไทย,นาย,ทรรศชล,พงษ์ภควัต,1,38,ปริญญาเอก,ผู้จัดการฝ่ายตลาด,ประกาศ
84D50AF2-AAB6-49B4-AECA-F3A9B207785C,คนงานไทย,นาย,ธีระ,เจียบุญหยก,1,74,ปริญญาเอก,ข้าราชการบำนาญ,ประกาศ
69C2D8EF-9139-4C12-8512-E5BA02076538,คนธรรมดาแห่งประเทศไทย,นาย,ธนพร,ศรียากูล,1,48,ปริญญาเอก,นักวิชาการ,ประกาศ
A03F7391-641E-45BF-B1A7-88E043E6FDDF,คนธรรมดาแห่งประเทศไทย,นาย,สมชาย,ศรีสัมพันธ์,2,54,ปริญญาโท,รับจ้าง,ประกาศ
F4763C7E-6799-4246-8CD5-A95C77A449D0,ครูไทยเพื่อประชาชน,นาย,ปรีดา,บุญเพลิง,1,67,ปริญญาโท,รับราชการ,ประกาศ
E4E3CDCB-B1BD-4984-9D94-907E29FA2D13,ครูไทยเพื่อประชาชน,นาย,สุวิชญ์,โยทองยศ,2,72,ปริญญาเอก,ธุรกิจส่วนตัว,ประกาศ
F9D7EA3B-1D4E-4DC7-B89D-6CC34E41EF32,ครูไทยเพื่อประชาชน,นาย,ศักดิ์ดา,สามารถ,3,68,ปริญญาโท,-,ประกาศ
B9381551-0E7C-4B73-B534-8DED0B679940,ครูไทยเพื่อประชาชน,นาย,สรสินธุ,ไตรจักรภพ,4,73,ปริญญาโท,นักธุรกิจ,ประกาศ
E1C6ECF9-41CD-4A04-9B4F-4AB91C609C48,ครูไทยเพื่อประชาชน,ศาสตราจารย์ ,ชัยพร,ธนถาวรกิจ,5,72,ปริญญาเอก,อดีตคณบดี บริหารธุรกิจ มหาวิทยาลัยกรุงเทพธนบุรี,ประกาศ
5ED2C1B8-2C29-4097-A7C8-CE0577C12774,ครูไทยเพื่อประชาชน,นาย,สมศักดิ์,มกรมณเฑียร,6,57,ปริญญาเอก,ผู้รับใบอนุญาตโรงเรียนเอกชน,ประกาศ
38AB8111-C580-4C1A-8BB0-3ABDCF210384,ครูไทยเพื่อประชาชน,นาย,ปรัชญา,มั่นทน,7,62,ปริญญาเอก,รับราชการครู,ประกาศ
847CD922-A4B4-42F0-9582-E0031F65FC07,ครูไทยเพื่อประชาชน,นาย,อนันท์,อาบสุวรรณ,8,65,ปริญญาโท,นักธุรกิจ (ธุรกิจส่วนตัว),ประกาศ
97AEEE89-34B4-4BEA-B7F0-0CD3C4A69A56,ครูไทยเพื่อประชาชน,นาย,อับดุลรอณีย์,เด็งสาแม,9,56,ปริญญาตรี,ทำสวน,ประกาศ
